code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
5707,東邦亜鉛,14,50.0,47498,-4.54,3392
5930,文化シヤッター,11,63.6,47382,-1.42,4307
7157,ライフネット生命保険,10,60.0,46892,-2.37,4689
8035,東京エレクトロン,9,55.6,46890,-3.35,5210
3661,エムアップホールディングス,12,66.7,46727,-0.76,3893
3395,サンマルクホールディングス,16,62.5,46525,-1.43,2907
7725,インターアクション,10,60.0,46327,-0.66,4632
3593,ホギメディカル,13,61.5,46163,-0.98,3551
8336,武蔵野銀行,21,57.1,46152,-2.28,2197
5482,愛知製鋼,11,72.7,45246,-3.59,4113
6674,ジーエス・ユアサ　コーポレーション,10,70.0,45068,-1.9,4506
5831,しずおかフィナンシャルグループ,12,75.0,44963,-0.73,3746
6383,ダイフク,8,75.0,44821,-0.89,5602
5838,楽天銀行,12,50.0,44651,-2.71,3720
6278,ユニオンツール,9,55.6,44309,-1.98,4923
8624,いちよし証券,13,69.2,43672,-0.75,3359
7995,バルカー,5,80.0,43562,-0.84,8712
8157,都築電気,13,61.5,43330,-1.31,3333
6810,マクセル,11,72.7,43143,-0.89,3922
6787,メイコー,7,57.1,42892,-1.31,6127
4041,日本曹達,14,64.3,42681,-1.5,3048
4368,扶桑化学工業,12,75.0,42556,-1.93,3546
7296,エフ・シー・シー,16,62.5,42306,-1.62,2644
6809,ＴＯＡ,9,100.0,42036,0.0,4670
2975,スター・マイカ・ホールディングス,16,62.5,41927,-1.25,2620
4784,ＧＭＯインターネット,8,50.0,41713,-3.91,5214
8343,秋田銀行,11,72.7,41287,-0.7,3753
7867,タカラトミー,9,66.7,41280,-1.05,4586
6947,図研,11,63.6,41232,-1.72,3748
4249,森六,10,60.0,41057,-2.81,4105
8097,三愛オブリ,5,100.0,41025,0.0,8205
6136,オーエスジー,9,77.8,41003,-0.76,4555
3397,トリドールホールディングス,8,62.5,40987,-1.02,5123
2222,寿スピリッツ,9,55.6,40601,-0.91,4511
3034,クオールホールディングス,5,80.0,40088,-0.72,8017
9513,電源開発,10,70.0,40031,-1.22,4003
5214,日本電気硝子,12,58.3,39651,-1.87,3304
6113,アマダ,11,63.6,39624,-1.87,3602
5703,日本軽金属ホールディングス,8,75.0,39439,-1.82,4929
8386,百十四銀行,9,88.9,38836,-0.42,4315
8364,清水銀行,11,63.6,38775,-1.59,3525
3946,トーモク,13,61.5,38524,-1.07,2963
9621,建設技術研究所,11,63.6,38316,-1.34,3483
4544,Ｈ．Ｕ．グループホールディングス,13,69.2,38104,-0.69,2931
3086,Ｊ．フロント　リテイリング,11,63.6,38047,-2.01,3458
8368,百五銀行,19,57.9,38020,-1.35,2001
